"No.","Time","Source","Destination","Protocol","Length","Info"
"1084","2.040479","192.168.0.7","172.217.166.174","TCP","74","[TCP Dup ACK 1082#1] 1634  >  443 [ACK] Seq=1 Ack=28561 Win=260 Len=0 SLE=32641 SRE=34001 SLE=29921 SRE=31281"
"1085","2.077450","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=31281 Ack=1 Win=246 Len=1360"
"1086","2.077498","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1082#2] 1634  >  443 [ACK] Seq=1 Ack=28561 Win=260 Len=0 SLE=29921 SRE=34001"
"1087","2.084407","192.168.0.7","239.255.255.250","SSDP","338","NOTIFY * HTTP/1.1 "
"1088","2.085958","192.168.0.7","192.168.43.219","TCP","66","1689  >  19960 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1089","2.165098","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=28561 Ack=1 Win=246 Len=1360"
"1090","2.205940","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=34001 Win=260 Len=0"
"1091","2.208744","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1092","2.208793","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1090#1] 1634  >  443 [ACK] Seq=1 Ack=34001 Win=260 Len=0 SLE=35361 SRE=36721"
"1093","2.372903","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=34001 Ack=1 Win=246 Len=1360"
"1094","2.413205","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=36721 Win=260 Len=0"
"1095","2.657232","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1096","2.657232","172.217.166.174","192.168.0.7","TCP","1414","[TCP Out-Of-Order] 443  >  1634 [ACK] Seq=36721 Ack=1 Win=246 Len=1360"
